ccode,countrycode,country,year,spell,duration,regime_change,regime_change_year,prevrc,democratization,aa_transition,party,military,personal,monarchy,currency_duration,banking,default,twin,ers_onset,d_ers,mi_onset,d_mi,kaopen_onset,d_kaopen,ers_mi_onset,d_ers_mi,mi_kaopen_onset,d_mi_kaopen,ers_kaopen_onset,d_ers_kaopen,gdppc_onset,d_gdppc_max,d_gdppc_total,d_gdppc_avg,ln_gdppc_onset,d_ln_gdppc_max,d_ln_gdppc_total,d_ln_gdppc_avg,gdppcgr_onset,gdppcgr_max,gdppcgr_total,gdppcgr_avg,oil_gas_value_pc,oil_gas_value_pc_avg,oilgas,oilgas_avg,oilrents,oilrents_avg,resources,resources_avg,vdem_index,polity2,polity2_avg,fedrate,d_fedrate,europe,latam,mideast,africa,eastasia,southasia,cgv_civilian,gwf_civilian,civil_war,1960s,1970s,1980s,1990s,2000s,cold_war,low_income,lower_middle_income,upper_middle_income,high_income
93,NIC,Nicaragua,1985-1986,11,6,0,,0,0,0,1,0,0,0,2,0,1,1,1,0,,,0,0,,,,,0.481783942388047,0,3032,-141,-80,-40,8.01697774676226,-0.0466585869647069,-0.0267395610418983,-0.0133697805209492,-3.78985361941047,-6.06502709462276,-9.14911850797976,-4.57455925398988,0,0,0,0,0,0,1.09149036950124,0.876974023003551,0.193,-1,1.08333333333333,7.45291666666667,2.77,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0
93,NIC,Nicaragua,1988-1990,11,9,1,1990,0,1,0,1,0,0,0,3,1,1,1,1,-0.993108694,,,0,0.164809227,,,,,0.481783942388047,0.515336459688578,3049,-715,-926,-308.666666666667,8.02256894698825,-0.267230134141753,-0.361983485284998,-0.120661161761666,-2.93040293040293,-14.5283018867925,-22.9852428058018,-7.66174760193394,0,0,0,0,0,0,0.744970270121151,3.52669854615249,0.385,-1,2.70833333333333,6.6575,-1.64,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0
475,NGA,Nigeria,1973,13,7,0,,0,0,0,0,1,0,0,1,0,0,0,1,0,0.5,0,0.164809226989746,0,0.651540181706206,0,0.637385889410023,0,0.402381503267001,0,5080,630,630,630,8.53306654057253,0.116907762077529,0.116907762077529,0.116907762077529,0.775694893341952,5.42014111610006,5.42014111610006,5.42014111610006,211.7658811988,281.6943736725,4.1686197086378,4.93335155293345,0,1.64111606389863,1.7459894323986,3.94597762689785,0.177,-7,-5.26315789473684,4.43416666666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
475,NGA,Nigeria,1985-1990,10,2,0,,1,0,0,0,1,0,0,6,0,0,0,0.500998973846436,-0.463734839111567,0.5,0.217423558235168,0.164809226989746,-0.164809226989746,0.462153305484145,-0.239516657624357,0.637385889410023,0.207323915545345,0.661319345255719,0.286509112812815,4695,-406,-578,-96.3333333333333,8.45425339164236,-0.0917328210768282,-0.131373369872458,-0.0218955616454097,-6.26876876876877,-3.26996197718631,15.4678267862237,2.57797113103728,495.17170379,287.05567676535,10.5467881531416,6.44641945036959,8.9473996323422,12.2496051988734,10.2435602252684,14.530950254897,0.191,-7,-5.34883720930233,10.225,2.48,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
475,NGA,Nigeria,1993,10,10,1,1993,0,0,1,0,1,0,0,1,1,1,0,0.0584228225052357,0.066096675,0.788001656532288,-0.014410734,0,0,0.0934674671640091,0.0351289292343851,0.893173819586611,-0.00989544984682467,0.970380056679989,-0.034298386976602,3625,-187,-187,-187,8.19560956728878,-0.0529643813459799,-0.0529643813459799,-0.0529643813459799,-0.391598433606266,-0.964974982130093,-0.964974982130093,-0.964974982130093,246.511461831,207.9025257434,6.80031618844138,6.04719388433392,17.1026101436705,26.4301704314109,20.5224662184848,31.8122573207042,0.231,-5,-1.20454545454545,3.0225,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
475,NGA,Nigeria,1997,6,4,0,,0,0,0,0,1,1,0,1,0,0,0,1,0,0.491098433732986,0.160239905,0,0.060602106,0.657743858034074,-0.111674336442324,0.689298644695478,0.0886957923343733,0.481783942388047,-0.0291971216198763,3010,-97,-97,-97,8.00969535774292,-0.0327566007834879,-0.0327566007834879,-0.0327566007834879,1.52303120356612,0.402488108305891,0.402488108305891,0.402488108305891,230.5680318219,219.6771868326,7.66006750238871,7.5412697161895,17.6387577979386,13.8916756166411,22.2102603617573,17.9631424248945,0.193,-6,0.0444444444444444,5.29833333333333,-0.16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
475,NGA,Nigeria,1999,6,6,1,1999,0,1,0,0,1,1,0,1,0,0,0,1,-0.97502993,0.621647953987122,0.110492527,0.225411295890808,0.060602099,0.566761333821877,-0.447059508336529,0.699581676732391,0.0545356561086118,0.373184399594975,0.476758046064346,2814,-146,-146,-146,7.94236223767433,-0.0532778306388204,-0.0532778306388204,-0.0532778306388204,0.0728862973760933,-1.85724690458849,-1.85724690458849,-1.85724690458849,132.5825120991,166.8464884568,4.71153205753731,6.25361650887556,5.16436462661539,9.89475116204305,9.32379297977062,12.7347521380767,0.226,-1,-0.333333333333333,4.97,0.38,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
150,PRY,Paraguay,1984-1986,39,30,0,,0,0,0,1,1,1,0,3,0,0,0,1,-0.928744122,,,0.121204182505608,0,,,,,0.423389713506575,0.48193688230277,3545,-118,-110,-36.6666666666667,8.17329343896623,-0.0337753913645766,-0.0315212343097784,-0.0105070781032595,-5.6478999106345,-2.82612764364589,-1.61571087333723,-0.538570291112409,0,0,0,0,0,0,2.10422574976005,2.46827085146537,0.165,-8,0.833333333333333,8.37694444444445,0.71,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
150,PRY,Paraguay,1989,39,35,0,,0,0,0,1,1,1,0,1,0,1,1,1,-0.945217516,,,0,0.164809227,,,,,0.481783942388047,0.411082692263059,3640,13,13,13,8.19973896063079,0.00356506616449614,0.00356506616449614,0.00356506616449614,3.30672748004561,2.75938189845475,2.75938189845475,2.75938189845475,0,0,0,0,0,0,2.80975350844632,3.11665484832821,0.172,-8,3.16666666666667,7.56833333333333,-1.65,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
150,PRY,Paraguay,1992-1993,39,38,1,1993,0,1,0,1,1,1,0,2,0,1,1,0.346308082342148,0.178715616,0.555498480796814,0.217230677604675,0.164809226989746,0.247995347,0.364765175164815,-0.103189515012698,0.675495150643239,0.0618532885643531,0.741590373814895,-0.212217933170078,4003,-36,53,26.5,8.29479935899257,-0.00903393847824319,0.013153186278446,0.00657659313922299,-0.411154808723633,-1.04110572608149,0.264898264486255,0.132449132243128,0,0,0,0,0,0,2.37235297946034,2.61615926762029,0.424,2,5.33333333333333,3.27208333333333,2.42,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
